id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,8,8,0,9,10,9,0,10,7,10
85546649,0,7,2,0,4,2,0,2,0,0
102975974,8,5,7,8,8,10,2,9,2,2
1284913,0,10,9,0,0,0,0,2,0,0
103989003,0,0,9,0,0,0,0,0,0,0
114170086,10,8,6,10,8,2,8,8,0,0
89653371,0,0,0,8,10,10,5,9,10,5
15263384,0,9,9,0,10,0,2,0,0,0
127131501,0,1,10,0,0,0,0,0,0,0
55179319,2,2,0,2,0,6,0,0,8,0
77884778,0,9,8,0,9,6,2,5,8,2
1941454,8,0,10,10,10,8,10,8,10,8
193351308,0,5,0,0,10,0,2,0,2,2
193962900,8,9,10,7,9,6,9,10,5,2
