id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,1.5,1.5,0.0,0.0,1.5,0.75,0.85,5.6000000000000005,0.75,0.75
85546649,0.0,7.2,0.75,0.0,0.7,0.0,1.5,0.0,1.2,0.75
102975974,3.75,1.5,6.4,0.0,6.0,0.7,0.75,1.5,0.75,0.75
1284913,5.95,9.0,5.6,5.6000000000000005,5.6000000000000005,0.0,0.0,0.0,0.75,0.0
103989003,0.0,0.0,1.6,0.0,5.95,0.0,0.0,1.4,0.75,0.0
114170086,5.6000000000000005,7.2,7.6499999999999995,4.5,2.55,0.0,0.0,0.0,0.85,0.0
89653371,2.25,2.8,1.5,1.4,3.0,4.199999999999999,2.4000000000000004,1.5,5.6000000000000005,4.5
15263384,7.6499999999999995,7.6499999999999995,5.95,7.2,7.6499999999999995,0.65,0.0,0.0,0.0,0.85
127131501,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55179319,0.8,1.4,0.0,0.0,2.25,1.4,2.25,2.25,5.1,0.0
77884778,1.4,7.6499999999999995,5.6000000000000005,6.8,6.0,1.5,0.0,0.7,0.75,0.7
1941454,6.0,1.7,6.0,0.75,5.95,2.6,0.75,1.4,2.0999999999999996,0.75
193351308,1.6,7.2,0.0,7.2,6.8,1.6,3.0,0.75,0.8,0.0
193962900,0.0,3.2,5.6000000000000005,6.0,7.2,1.5,0.0,1.5,2.55,1.4
