id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,1,2,0,1,5,3,5,4,1,2
85546649,1,9,2,2,3,1,2,1,3,2
102975974,2,2,8,7,3,2,0,2,1,1
1284913,9,9,7,9,8,1,2,0,0,0
103989003,0,2,2,1,2,0,2,0,2,2
114170086,9,7,9,8,7,1,2,1,1,0
89653371,2,3,0,2,3,2,7,2,7,2
15263384,7,9,7,9,9,2,0,0,1,0
127131501,0,0,9,0,0,0,0,0,0,0
55179319,1,2,0,1,1,2,2,0,3,1
77884778,3,1,7,1,6,0,2,0,4,0
1941454,3,2,9,6,4,2,0,0,3,0
193351308,3,8,1,7,9,6,2,2,2,1
193962900,6,3,7,7,9,2,2,0,2,2
