id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,0.0,1.8,4.5,4.5,1.8,4.199999999999999,0.9,1.6,1.6,2.8
85546649,1.6,8.1,2.0999999999999996,1.8,4.199999999999999,1.8,0.0,4.5,0.0,0.9
102975974,7.2,1.8,7.2,7.2,8.1,1.6,0.0,3.5,0.0,1.4
1284913,1.6,8.1,4.199999999999999,7.2,4.8999999999999995,0.9,0.0,0.0,0.9,0.0
103989003,0.0,0.0,2.4000000000000004,0.0,0.0,1.8,1.8,0.0,0.9,0.0
114170086,7.2,8.1,7.2,7.2,6.8,2.0,1.8,1.8,4.0,1.2
89653371,1.6,1.8,1.6,5.6000000000000005,2.0,5.6000000000000005,3.2,4.199999999999999,7.2,2.0999999999999996
15263384,8.1,8.1,7.2,4.800000000000001,7.2,1.4,2.0,1.6,2.4000000000000004,0.0
127131501,0.0,0.0,10.0,0.0,1.8,0.0,0.9,0.0,0.0,0.0
55179319,3.5,0.9,0.7,4.5,0.9,1.6,1.8,0.9,5.6,0.0
77884778,1.6,7.2,7.2,2.0999999999999996,7.2,1.8,1.6,2.0999999999999996,6.4,0.0
1941454,6.8,0.0,2.8,6.4,9.0,2.4000000000000004,1.4,4.800000000000001,1.7999999999999998,1.6
193351308,1.4,7.2,1.8,5.6,8.1,1.6,1.8,1.8,0.0,1.6
193962900,6.8,7.2,7.2,5.6000000000000005,8.1,1.4,2.4000000000000004,1.4,3.2,1.0
