id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
88,4.0,0.0,0.0,7.2,4.0,7.2,0.0,7.2,8.0,9.0
89,6.4,3.2,7.2,9.0,7.2,9.0,8.0,9.0,9.0,9.0
91,7.2,7.2,7.2,9.0,1.6,9.0,7.2,7.2,9.0,9.0
279,7.2,9.0,9.0,9.0,9.0,9.0,6.4,8.0,9.0,9.0
289,9.0,8.0,9.0,5.6000000000000005,7.2,9.0,7.2,7.2,8.0,10.0
293,9.0,8.0,9.0,9.0,7.2,9.0,9.0,8.0,9.0,7.2
326,9.0,9.0,9.0,9.0,7.2,7.2,7.2,7.2,9.0,9.0
435,10.0,4.0,7.2,7.2,9.0,7.2,7.2,0.0,9.0,4.0
454,10.0,7.2,9.0,7.2,9.0,7.2,5.6000000000000005,5.6000000000000005,7.2,4.0
668,7.2,9.0,4.0,7.2,4.0,10.0,8.0,8.0,7.2,6.4
